STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,211041.0,A,Annual,"Venezuela, RB","Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,0.0,A,Annual,Vietnam,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,29864.0,A,Annual,West Bank and Gaza,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,1315317.0,A,Annual,"Yemen, Rep.","Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,271401.0,A,Annual,Zambia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2013,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,266943.0,A,Annual,Zimbabwe,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2018,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,23505.0,A,Annual,West Bank and Gaza,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2018,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,278600.0,A,Annual,Zimbabwe,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UMC,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,7665000.0,A,Annual,Upper middle income,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,13995.0,A,Annual,Albania,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,31549.7612131312,A,Annual,Algeria,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,443738.0,A,Annual,Angola,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ATG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,308.0,A,Annual,Antigua and Barbuda,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,7168.24024923937,A,Annual,Argentina,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUS,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,6179.0,A,Annual,Australia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UMC,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,8461000.0,A,Annual,Upper middle income,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,709.858095090458,A,Annual,Albania,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,16233.3536134656,A,Annual,Algeria,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AND,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,437.0,A,Annual,Andorra,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ATG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,27.0,A,Annual,Antigua and Barbuda,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,8451.04147026222,A,Annual,Argentina,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2014,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,12456.0,A,Annual,Armenia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
